cellIndex	x	z	P	Q	matNum	fixed
439	19.25	2.25	7.75	0	1	false
440	19.75	2.25	7.75	0	1	false
441	20.25	2.25	7.75	0	5	false
442	20.75	2.25	7.75	0	4	false
443	21.25	2.25	7.75	0	89	false
444	21.75	2.25	7.75	0	89	false
445	22.25	2.25	7.75	0	80	false
446	22.75	2.25	7.75	0	86	false
447	23.25	2.25	7.75	0	75	false
448	23.75	2.25	7.75	0	70	false
449	24.25	2.25	7.75	0	53	false
450	24.75	2.25	7.75	0	64	false
451	25.25	2.25	7.75	0	81	false
452	25.75	2.25	7.75	0	77	false
453	26.25	2.25	7.75	0	82	false
454	26.75	2.25	7.75	0	76	false
455	27.25	2.25	7.75	0	76	false
456	27.75	2.25	7.75	0	90	false
457	28.25	2.25	7.75	0	91	false
458	28.75	2.25	7.75	0	94	false
459	29.25	2.25	7.75	0	44	false
460	29.75	2.25	7.75	0	41	false
461	30.25	2.25	7.75	0	55	false
462	30.75	2.25	7.75	0	75	false
463	31.25	2.25	7.75	0	59	false
464	31.75	2.25	7.75	0	64	false
465	32.25	2.25	7.75	0	68	false
466	32.75	2.25	7.75	0	84	false
467	33.25	2.25	7.75	0	66	false
468	33.75	2.25	7.75	0	84	false
469	34.25	2.25	7.75	0	78	false
470	34.75	2.25	7.75	0	78	false
471	35.25	2.25	7.75	0	58	false
472	35.75	2.25	7.75	0	20	false
473	36.25	2.25	7.75	0	27	false
474	36.75	2.25	7.75	0	70	false
475	37.25	2.25	7.75	0	63	false
476	37.75	2.25	7.75	0	70	false
477	38.25	2.25	7.75	0	38	false
478	38.75	2.25	7.75	0	56	false
479	39.25	2.25	7.75	0	10	false
480	39.75	2.25	7.75	0	8	false
481	40.25	2.25	7.75	0	2	false
482	40.75	2.25	7.75	0	26	false
483	41.25	2.25	7.75	0	13	false
484	41.75	2.25	7.75	0	15	false
485	42.25	2.25	7.75	0	20	false
486	42.75	2.25	7.75	0	22	false
487	43.25	2.25	7.75	0	7	false
488	43.75	2.25	7.75	0	9	false
489	44.25	2.25	7.75	0	6	false
490	44.75	2.25	7.75	0	13	false
491	45.25	2.25	7.75	0	7	false
492	45.75	2.25	7.75	0	7	false
493	46.25	2.25	7.75	0	2	false
494	46.75	2.25	7.75	0	1	false
495	47.25	2.25	7.75	0	10	false
496	47.75	2.25	7.75	0	19	false
497	48.25	2.25	7.75	0	41	false
498	48.75	2.25	7.75	0	35	false
499	49.25	2.25	7.75	0	8	false
500	49.75	2.25	7.75	0	29	false
501	0.25	2.75	7.25	0	16	true
502	0.75	2.75	7.25	0	7	false
503	1.25	2.75	7.25	0	20	false
504	1.75	2.75	7.25	0	35	false
505	2.25	2.75	7.25	0	54	false
506	2.75	2.75	7.25	0	47	false
507	3.25	2.75	7.25	0	56	false
508	3.75	2.75	7.25	0	31	false
509	4.25	2.75	7.25	0	58	false
510	4.75	2.75	7.25	0	54	false
511	5.25	2.75	7.25	0	91	false
512	5.75	2.75	7.25	0	95	false
513	6.25	2.75	7.25	0	97	false
514	6.75	2.75	7.25	0	45	false
515	7.25	2.75	7.25	0	44	false
516	7.75	2.75	7.25	0	44	false
517	8.25	2.75	7.25	0	72	false
518	8.75	2.75	7.25	0	63	false
519	9.25	2.75	7.25	0	92	false
520	9.75	2.75	7.25	0	85	false
521	10.25	2.75	7.25	0	75	false
522	10.75	2.75	7.25	0	77	false
523	11.25	2.75	7.25	0	82	false
524	11.75	2.75	7.25	0	81	false
525	12.25	2.75	7.25	0	81	false
526	12.75	2.75	7.25	0	82	false
527	13.25	2.75	7.25	0	72	false
528	13.75	2.75	7.25	0	53	false
529	14.25	2.75	7.25	0	69	false
530	14.75	2.75	7.25	0	69	false
531	15.25	2.75	7.25	0	81	false
532	15.75	2.75	7.25	0	64	false
533	16.25	2.75	7.25	0	53	false
534	16.75	2.75	7.25	0	64	false
535	17.25	2.75	7.25	0	68	false
536	17.75	2.75	7.25	0	93	false
537	18.25	2.75	7.25	0	91	false
538	18.75	2.75	7.25	0	38	false
539	19.25	2.75	7.25	0	3	false
540	19.75	2.75	7.25	0	1	false
541	20.25	2.75	7.25	0	5	false
542	20.75	2.75	7.25	0	5	false
543	21.25	2.75	7.25	0	89	false
544	21.75	2.75	7.25	0	89	false
545	22.25	2.75	7.25	0	89	false
546	22.75	2.75	7.25	0	91	false
547	23.25	2.75	7.25	0	86	false
548	23.75	2.75	7.25	0	70	false
549	24.25	2.75	7.25	0	47	false
550	24.75	2.75	7.25	0	68	false
551	25.25	2.75	7.25	0	85	false
552	25.75	2.75	7.25	0	80	false
553	26.25	2.75	7.25	0	89	false
554	26.75	2.75	7.25	0	76	false
555	27.25	2.75	7.25	0	92	false
556	27.75	2.75	7.25	0	86	false
557	28.25	2.75	7.25	0	91	false
558	28.75	2.75	7.25	0	44	false
559	29.25	2.75	7.25	0	44	false
560	29.75	2.75	7.25	0	1	false
561	30.25	2.75	7.25	0	55	false
562	30.75	2.75	7.25	0	75	false
563	31.25	2.75	7.25	0	59	false
564	31.75	2.75	7.25	0	91	false
565	32.25	2.75	7.25	0	99	false
566	32.75	2.75	7.25	0	84	false
567	33.25	2.75	7.25	0	84	false
568	33.75	2.75	7.25	0	84	false
569	34.25	2.75	7.25	0	80	false
570	34.75	2.75	7.25	0	49	false
571	35.25	2.75	7.25	0	49	false
572	35.75	2.75	7.25	0	19	false
573	36.25	2.75	7.25	0	19	false
